run_id,timestamp,n_estimators,max_depth,learning_rate,subsample,cv_accuracy,cv_precision,cv_recall,cv_f1_score,cv_roc_auc,artifact_plot_path
RUN_01,2026-08-10 20:18:34,30,3,0.01,0.8,0.4207,0.2511,0.6289,0.3575,0.4888,../artifacts/day14/xgb_run_1.png
RUN_02,2026-08-10 20:18:35,50,3,0.05,0.8,0.6133,0.2544,0.2584,0.2543,0.4906,../artifacts/day14/xgb_run_2.png
RUN_03,2026-08-10 20:18:35,100,3,0.1,0.8,0.672,0.2718,0.1611,0.2013,0.506,../artifacts/day14/xgb_run_3.png
RUN_04,2026-08-10 20:18:37,150,4,0.05,0.7,0.662,0.268,0.1663,0.2042,0.504,../artifacts/day14/xgb_run_4.png
RUN_05,2026-08-10 20:18:38,200,4,0.1,0.7,0.6567,0.2721,0.1892,0.2231,0.5018,../artifacts/day14/xgb_run_5.png
RUN_06,2026-08-10 20:18:39,50,5,0.2,1.0,0.6527,0.2606,0.1764,0.21,0.5048,../artifacts/day14/xgb_run_6.png
RUN_07,2026-08-10 20:18:40,100,5,0.05,0.9,0.6573,0.2638,0.1689,0.2051,0.5013,../artifacts/day14/xgb_run_7.png
RUN_08,2026-08-10 20:18:42,150,6,0.1,0.8,0.6533,0.2678,0.1866,0.2194,0.502,../artifacts/day14/xgb_run_8.png
RUN_09,2026-08-10 20:18:44,80,4,0.15,0.85,0.674,0.3007,0.1867,0.2296,0.4995,../artifacts/day14/xgb_run_9.png
RUN_10,2026-08-10 20:18:45,120,3,0.03,0.95,0.6313,0.2437,0.2047,0.2196,0.4922,../artifacts/day14/xgb_run_10.png
RUN_11,2026-08-10 20:18:46,60,7,0.25,0.6,0.6593,0.2827,0.2021,0.2338,0.5046,../artifacts/day14/xgb_run_11.png
RUN_12,2026-08-10 20:18:48,180,5,0.08,0.75,0.6667,0.2926,0.1968,0.2353,0.5006,../artifacts/day14/xgb_run_12.png
RUN_13,2026-08-10 20:18:49,90,4,0.12,0.8,0.6547,0.2499,0.1637,0.1973,0.4961,../artifacts/day14/xgb_run_13.png
RUN_14,2026-08-10 20:18:51,110,6,0.04,0.9,0.656,0.2585,0.1712,0.2057,0.5058,../artifacts/day14/xgb_run_14.png
RUN_15,2026-08-10 20:18:52,160,3,0.07,0.85,0.6787,0.2893,0.1637,0.209,0.5062,../artifacts/day14/xgb_run_15.png
